 -448.753 135.355
 -498.753 135.355
 -518.753 85.3553
 -498.753 35.3553
 -448.753 35.3553
 -448.753 135.355
 8.66025 5
 17.3205 10
 25.9808 15
 34.641 20
 43.3013 25
 51.9615 30
 60.6218 35
 69.282 40
 77.9423 45
 86.6025 50
 86.6025 55
 86.6025 60
 86.6025 65
 86.6025 70
 86.6025 75
 86.6025 80
 86.6025 85
 86.6025 90
 86.6025 95
 86.6025 100
 79.5315 107.071
 72.4604 114.142
 65.3893 121.213
 58.3183 128.284
 51.2472 135.355
 44.1761 142.426
 37.1051 149.497
 30.034 156.569
 22.9629 163.64
 15.8919 170.711
 19.4274 167.175
 22.9629 163.64
 26.4985 160.104
 30.034 156.569
 33.5695 153.033
 37.1051 149.497
 40.6406 145.962
 44.1761 142.426
 47.7117 138.891
 51.2472 135.355
 1.2472 135.355
 -48.7528 135.355
 -98.7528 135.355
 -148.753 135.355
 -198.753 135.355
 -248.753 135.355
 -298.753 135.355
 -348.753 135.355
 -398.753 135.355
 -448.753 135.355
